"Mol_don","Mol_acc","PCE","Voc","Jsc","FF","SMILES_acc","SMILES_don","DOI"
"D18","S9TBO-F","17.17","0.838","28.19","0.749","CCCCCCCCCc3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc%11c3sc%12c%10c4n[se]nc4c9c8sc7c(CCCCCCCCC)c(C=c6c(=O)c5cc(F)c(F)cc5c6=C(C#N)C#N)sc7c8n(CC(CCCC)CCCCCC)c9c%10n(CC(CCCC)CCCCCC)c%11%12","CCCCCCC(CC1=CSC(C2=CC3=C(C4=C(C5=NSN=C53)C=C(S4)C6=CC(CC(CCCCCC)CCCC)=C(S6)C7=CC8=C(C9=C(C(C%10=CC(F)=C(N%10)CC(CCCC)CC)=C8S7)C=CS9)C%11=CC(F)=C(S%11)CC(CCCC)CC)S2)=C1)CCCC","10.1002/adma.202202089"
"D18","BS3TSe-4F","18.48","0.828","29.4","0.759","CCCCCCCCCc3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc%11c3sc%12c%10c4n[se]nc4c9c8sc7c(CCCCCCCCC)c(C=c6c(=O)c5cc(F)c(F)cc5c6=C(C#N)C#N)[se]c7c8n(CC(CCCC)CCCCCC)c9c%10n(CC(CCCC)CCCCCC)c%11%12","CCCCCCC(CC1=CSC(C2=CC3=C(C4=C(C5=NSN=C53)C=C(S4)C6=CC(CC(CCCCCC)CCCC)=C(S6)C7=CC8=C(C9=C(C(C%10=CC(F)=C(N%10)CC(CCCC)CC)=C8S7)C=CS9)C%11=CC(F)=C(S%11)CC(CCCC)CC)S2)=C1)CCCC","10.1002/adma.202202089"
"PM6","Y-BO-FCl","17.52","0.85","23.45","0.779","CCCCCCC(CCCC)CN7c3c(sc4c([C11])c(C=c2c(=O)c1cc(Br)c(F)cc1c2=C([CN])[CN])sc34)C6c5nsnc5c8c(C67)n(CC(CCCC)CCCCCC)c%12c8sc%11c([C11])c(C(C)C/%10C(=O)c9cc(Br)c(F)cc9C%10=C([CN])\[CN])sc%11%12","FC1=C(CC(CCCC)CC)SC(C2=C(C=C(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C([H])S7)S4)S3)S8)C8=C(C9=CC(F)=C(CC(CCCC)CC)S9)C%10=C2SC([H])=C%10)=C1","10.1039/d1ee01832a"
"PM6","Y-BO-FBr","16.47","0.85","25.83","0.75","CCCCCCC(CCCC)Cn%12c4c3sc(C=c2c(=O)c1cc(Br)c(F)cc1c2=C(C#N)C#N)c([C11])c3sc4c%11c5nsnc5c%10c9sc8c([C11])c(C=c7c(=O)c6cc(Br)c(F)cc6c7=C(C#N)C#N)sc8c9n(CC(CCCC)CCCCCC)c%10c%11%12","FC1=C(CC(CCCC)CC)SC(C2=C(C=C(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C([H])S7)S4)S3)S8)C8=C(C9=CC(F)=C(CC(CCCC)CC)S9)C%10=C2SC([H])=C%10)=C1","10.1039/d1ee01832a"
"PM6","PY-V-y","17.1","0.912","24.8","0.758","CC(C)(C)/C=C/c%12ccc%11c(=C(C#N)C#N)c(=Cc%10sc8c(sc9c7c1nsnc1c6c5sc4c([C11])c(C=c3c(=O)c2cc(C(C)(C)C)ccc2c3=C(C#N)C#N)sc4c5n(CC([C8])[C10])c6c7n(CC([C8])[C10])c89)c%10[C11])c(=O)c%11c%12","FC1=C(CC(CCCC)CC)SC(C2=C(C=C(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C([H])S7)S4)S3)S8)C8=C(C9=CC(F)=C(CC(CCCC)CC)S9)C%10=C2SC([H])=C%10)=C1","10.1002/adma.202200361"
"PM6","PY-2T-y","15.3","0.933","23.5","0.699","CC(C)(C)c%14ccc%13c(=C(C#N)C#N)c(=Cc%12sc%10c(sc%11c9c1nsnc1c8c7sc6c([C11])c(C=c5c(=O)c4cc(c3ccc(c2ccc(C(C)(C)C)s2)s3)ccc4c5=C(C#N)C#N)sc6c7n(CC([C8])[C10])c8c9n(CC([C8])[C10])c%10%11)c%12[C11])c(=O)c%13c%14","FC1=C(CC(CCCC)CC)SC(C2=C(C=C(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C([H])S7)S4)S3)S8)C8=C(C9=CC(F)=C(CC(CCCC)CC)S9)C%10=C2SC([H])=C%10)=C1","10.1002/adma.202200361"
"PBDTT1Cl","Y18-1F","17.1","0.87","27.7","0.713","CCCCCCCCc3c(C=c2c(=O)c1cc*(F)ccc1c2=C(C#N)C#N)sc%11c3sc%12c%10c4nn(CC(CCC)CCCCC)nc4c9c8sc7cc(C=c6c(=O)c5cc*(F)ccc5c6=C(C#N)C#N)sc7c8n(CC(CC)CCCCC)c9c%10n(CC(CC)CCCCC)c%11%12","CCCCC(CC)Cc%12ccc(c%10c2cc(c1sc(C(C)(C)C)cc1Cl)sc2c(c3ccc(CC(CCC)CCCC)s3)c%11cc(c9sc(c8cc7c(c4ccc(CC(CC)CCCC)s4)c5sc(C(C)(C)C)cc5c(c6ccc(CC(CC)CCCC)s6)c7s8)cc9Cl)sc%10%11)s%12","10.1002/adma.20215483"
"PM6","BTP-T-3Cl","17.61","0.893","26.02","0.757","CCCCCCC(CCCC)Cn%13c4c3sc(C=c2c(=O)c1cc(Cl)c(Cl)cc1c2=C(C#N)C#N)c([C11])c3sc4c%12c5nsnc5c%11c%10sc9c([C11])c(C=c8c(=O)c7cc6sc(Cl)cc6cc7c8=C(C#N)C#N)sc9c%10n(CC(CCCC)CCCCCC)c%11c%12%13","FC1=C(CC(CCCC)CC)SC(C2=C(C=C(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C([H])S7)S4)S3)S8)C8=C(C9=CC(F)=C(CC(CCCC)CC)S9)C%10=C2SC([H])=C%10)=C1","10.1002/adfm.202108614"
"PBDB-T","BTP-T-2Cl","15.37","0.863","25.63","0.693","CCCCCCC(CCCC)Cn%14c5c4sc(C=c3c(=O)c2cc1sc(Cl)cc1cc2c3=C(C#N)C#N)c([C11])c4sc5c%13c6nsnc6c%12c%11sc%10c([C11])c(C=c9c(=O)c8cc7sc(Cl)cc7cc8c9=C(C#N)C#N)sc%10c%11n(CC(CCCC)CCCCCC)c%12c%13%14","[H]C1=CC2=C(S1)C(C3=CC=C(CC(CC)CCCC)S3)=C4C(SC(C5=CC=C(C6=C7C(C(C8=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C8C7=O)=O)=C(C9=CC=C([H])S9)S6)S5)=C4)=C2C%10=CC=C(CC(CC)CCCC)S%10","10.1002/adfm.202108614"
"P5TCN-2F","Y6","16.1","0.85","25.07","0.75","CCCCCCCCCCCC1=C(SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(C=C2C(=O)C3=CC(F)=C(F)C=C3C2=C(C#N)C#N)=C1CCCCCCCCCCC)C=C1C(=O)C2=CC(F)=C(F)C=C2C1=C(C#N)C#N","CCCCCCCCCCC(CCCCCCCC)CCc3cc(c2sc(c1cc(CC(CCCCCCCC)CCCCCCCCCC)c([]n]C)s1)cc2C#N)sc3c5cc(F)c(c4sc([[]C)cc4F)s5","10.1002/adfm.202201142"
"P5TCN-2F","Y6-BO","15.8","0.87","24.02","0.754","CCCCCCCCCCCc3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc%11c3sc%12c%10c4nsnc4c9c8sc7c(CCCCCCCCCCC)c(C=c6c(=O)c5cc(F)c(F)cc5c6=C(C#N)C#N)sc7c8n(CC(CCCC)CCCCCC)c9c%10n(CC(CCCC)CCCCCC)c%11%12","CCCCCCCCCCC(CCCCCCCC)CCc3cc(c2sc(c1cc(CC(CCCCCCCC)CCCCCCCCCC)c([]n]C)s1)cc2C#N)sc3c5cc(F)c(c4sc([[]C)cc4F)s5","10.1002/adfm.202201142"
"D18","L8-BO","19.05","0.9","24.55","0.758","CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F","CCCCCCC(CC1=CSC(C2=CC3=C(C4=C(C5=NSN=C53)C=C(S4)C6=CC(CC(CCCCCC)CCCC)=C(S6)C7=CC8=C(C9=C(C(C%10=CC(F)=C(N%10)CC(CCCC)CC)=C8S7)C=CS9)C%11=CC(F)=C(S%11)CC(CCCC)CC)S2)=C1)CCCC","10.1002/adma.202204718"
"PM6","CH4","16.49","0.888","26.11","0.711","C","FC1=C(CC(CCCC)CC)SC(C2=C(C=C(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C([H])S7)S4)S3)S8)C8=C(C9=CC(F)=C(CC(CCCC)CC)S9)C%10=C2SC([H])=C%10)=C1","10.1002/anie.202209580"
"L2","N3","16.69","0.87","24.99","0.768","CCc1csc(-c2cc3c4nsnc4c4cc(-c5cc(CC)c(-c6cc7c(-c8cc(F)c(CC)s8)c8sc(-c9sc(-c%10cc%11c%12nsnc%12c%12cc(-c%13cc(CC)c(-c%14cc%15c(-c%16cc(F)c(CC)s%16)c%16sc(-c%17sc(-c%18cc%19c%20nsnc%20c%20cc(-c%21cc(CC)c(-c%22cc%23c(-c%24cc(F)c(CC)s%24)c%24sccc%24c(-c%24cc(F)c(CC)s%24)c%23s%22)s%21)sc%20c%19s%18)cc%17CC)cc%16c(-c%16cc(F)c(CC)s%16)c%15s%14)s%13)sc%12c%11s%10)cc9CC)cc8c(-c8cc(F)c(CC)s8)c7s6)s5)sc4c3s2)c1","CCCCCCC(CCCC)Cc5cc(c4cc3c(=O)oc2cc(c1cc(CC(CCCC)CCCCCC)c(C(C)(C)C)s1)sc2c3s4)sc5c%10cc9c(c6cc(F)c(CC(CC)CCCC)s6)c7sc(C(C)(C)C)cc7c(c8cc(F)c(CC(CC)CCCC)s8)c9s%10","10.1039/d1ta10233h"
"PBQ6","m-THE","18.51","0.88","26.61","0.79","CCCCCCCC(CCCC)Cn%14c5c4sc(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)c(c3cc(CC(CC)CCCC)cs3)c4sc5c%13c6nsnc6c%12c%11sc%10c(c7cc(CC(CC)CCCCC)cs7)c(C=c9c(=O)c8cc(F)c(F)cc8c9=C(C#N)C#N)sc%10c%11n(CC(CCCCC)CCCCCC)c%12c%13%14.C","CCCCC(CC1=C(C=C(S1)C2=NC3=C(C(F)=C(C(C4=CC=CS4)=C3N=C2C5=CC(F)=C(S5)CC(CCC)CC)F)C6=CC=C(S6)C7=CC8=C(C(C9=CC(F)=C(S9)CC(CCCC)CC)=C%10C=CSC%10=C8C%11=CC(F)=C(S%11)CC(CCCC)CC)S7)F)CC","10.1039/d2ee00430e"
"PM6","YCF3","18.21","0.861","27.56","0.768","CCCCCCCCCCCc3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc%11c3sc%12c%10c4nn(CCCC(F)(F)F)nc4c9c8sc7c(CCCCCCCCCCC)c(C=c6c(=O)c5cc(F)c(F)cc5c6=C(C#N)C#N)sc7c8n(CC(CC)CCCC)c9c%10n(CC(CC)CCCC)c%11%12","FC1=C(CC(CCCC)CC)SC(C2=C(C=C(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C([H])S7)S4)S3)S8)C8=C(C9=CC(F)=C(CC(CCCC)CC)S9)C%10=C2SC([H])=C%10)=C1","10.1021/acsenergylett.2c02140"
"PM6","YCH3","15.53","0.872","25.45","0.7","CCCCCCCCCCCc3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc%11c3sc%12c%10c4nn(CCCC)nc4c9c8sc7c(CCCCCCCCCCC)c(C=c6c(=O)c5cc(F)c(F)cc5c6=C(C#N)C#N)sc7c8n(CC(CC)CCCC)c9c%10n(CC(CC)CCCC)c%11%12","FC1=C(CC(CCCC)CC)SC(C2=C(C=C(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C([H])S7)S4)S3)S8)C8=C(C9=CC(F)=C(CC(CCCC)CC)S9)C%10=C2SC([H])=C%10)=C1","10.1021/acsenergylett.2c02140"
"PM6","Y6-1OBO","18.02","0.93","25.13","0.771","CC=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N.CCCCCCC(CCCC)COc1csc9c1sc%10c8c2nsnc2c7c6sc5c(CC(CCCC)CCCCCC)c(C=c4c(=O)c3cc(F)c(F)cc3c4=C(C#N)C#N)sc5c6cc(CC(CC)CCCC)c7c8n(CC(CC)CCCC)c9%10","FC1=C(CC(CCCC)CC)SC(C2=C(C=C(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C([H])S7)S4)S3)S8)C8=C(C9=CC(F)=C(CC(CCCC)CC)S9)C%10=C2SC([H])=C%10)=C1","10.1021/acs.chemmater.2c02851"
"PM6","QX-THF","17.45","0.902","24.49","0.789","CCCCCCCCCc3c(C=c2c(=O)c1cc(Cl)c(Cl)cc1c2=C(C#N)C#N)sc(C)c3SC.CCCCCCCCCc3c(C=c2c(=O)c1cc(Cl)c(Cl)cc1c2=C(C#N)C#N)sc%10c3sc9c7c(c4c(ccn4CC(CCC)CCCCCC)C8/N=C(c5cc(F)c(CC(CC)CCCC)s5)\C(c6cc(F)c(CC(CC)CCCC)s6)=N/C78)n(CC(CCCC)CCCCCC)c9%10","FC1=C(CC(CCCC)CC)SC(C2=C(C=C(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C([H])S7)S4)S3)S8)C8=C(C9=CC(F)=C(CC(CCCC)CC)S9)C%10=C2SC([H])=C%10)=C1","10.1021/acsenergylett.2c01589"
"SZ5","BPT-4F","16.8","0.853","24.8","0.791","CCn1c2c3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc3sc2c2c3nsnc3c3c4sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c4n(CC)c3c21","CCn1c2c3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc3sc2c2c3nsnc3c3c4sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c4n(CC)c3c21","10.1002/nano.202100036"
"PBQx-TF","eC9-2Cl","17.7","0.868","25.9","0.786","CCc1c(/C=C2\C(=O)c3ccc(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8ccc(Cl)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21","CCc1csc(-c2cc3c(s2)-c2sc(-c4cc(CC)c(-c5cc6c(-c7cc(F)c(CC)s7)c7sc(-c8sc(-c9cc%10c(s9)-c9sc(-c%11cc(CC)c(-c%12cc%13c(-c%14cc(F)c(CC)s%14)c%14sc(-c%15sc(-c%16cc%17c(s%16)-c%16sc(-c%18cc(CC)c(-c%19cc%20c(-c%21cc(F)c(CC)s%21)c%21sccc%21c(-c%21cc(F)c(CC)s%21)c%20s%19)s%18)cc%16[C@H]%16N=CC=N[C@H]%17%16)cc%15CC)cc%14c(-c%14cc(F)c(CC)s%14)c%13s%12)s%11)cc9[C@H]9N=CC=N[C@H]%109)cc8CC)cc7c(-c7cc(F)c(CC)s7)c6s5)s4)cc2[C@H]2N=CC=N[C@H]32)c1","10.1002/adma.202102420"
"PBDB-TF","ABP4T-4F","15.2","0.922","22","0.751","CCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c2sc2c3c4nsnc4c4c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)c(CC)c5n(CC)c4c3n(CC)c12","CCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c2sc2c3c4nsnc4c4c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)c(CC)c5n(CC)c4c3n(CC)c12","10.1002/aenm.202003177"
"PBDB-TF","FO-2F","15.05","0.878","22.26","0.77","CCC1(CC)Oc2cc3c(cc2-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc21)C(CC)(CC)c1cc2c(cc1-3)OC(CC)(CC)c1cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc1-2","[H]C(S1)=CC2=C1C(C3=CC(F)=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=C6C(C(C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C6=O)=O)=C(C8=CC=C([H])S8)S5)S4)S9)C9=C2C%10=CC(F)=C(CC(CC)CCCC)S%10","10.1039/D0TA03087B"
"PBDB-TF","BTIC-CF3-y","15.59","0.85","25.19","0.7282","CCc1c(/C=C2\C(=O)c3cc(C(F)(F)F)ccc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(C(F)(F)F)ccc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21","[H]C(S1)=CC2=C1C(C3=CC(F)=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=C6C(C(C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C6=O)=O)=C(C8=CC=C([H])S8)S5)S4)S9)C9=C2C%10=CC(F)=C(CC(CC)CCCC)S%10","10.1016/j.joule.2020.02.004"
"PBDB-TF","BTP-S1","15.21","0.934","22.39","0.727","CCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8c(Cl)c(Cl)c(Cl)c(Cl)c8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21","[H]C(S1)=CC2=C1C(C3=CC(F)=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=C6C(C(C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C6=O)=O)=C(C8=CC=C([H])S8)S5)S4)S9)C9=C2C%10=CC(F)=C(CC(CC)CCCC)S%10","10.1002/adma.202001160"
"PBDB-TF","BTP-S2","16.37","0.945","24.07","0.72","CCc1c(/C=C2\C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8c(Cl)c(Cl)c(Cl)c(Cl)c8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21","[H]C(S1)=CC2=C1C(C3=CC(F)=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=C6C(C(C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C6=O)=O)=C(C8=CC=C([H])S8)S5)S4)S9)C9=C2C%10=CC(F)=C(CC(CC)CCCC)S%10","10.1002/adma.202001160"
"PBDB-TF","BTP-2Cl-delta","15.4","0.89","24.3","0.711","CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F","[H]C(S1)=CC2=C1C(C3=CC(F)=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=C6C(C(C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C6=O)=O)=C(C8=CC=C([H])S8)S5)S4)S9)C9=C2C%10=CC(F)=C(CC(CC)CCCC)S%10","10.1021/acsami.0c16389"
"PBDB-TF","BTP-S9","17.56","0.846","26.47","0.784","CCc1c(/C=C2\C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc9cc(F)c(F)cc9cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21","[H]C(S1)=CC2=C1C(C3=CC(F)=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=C6C(C(C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C6=O)=O)=C(C8=CC=C([H])S8)S5)S4)S9)C9=C2C%10=CC(F)=C(CC(CC)CCCC)S%10","10.1038/s41467-021-24937-5"
"PBDB-TF","CH1007","17.08","0.822","27.48","0.756","CCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)[se]c2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)[se]c6c5n(CC)c4c3n(CC)c12","[H]C(S1)=CC2=C1C(C3=CC(F)=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=C6C(C(C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C6=O)=O)=C(C8=CC=C([H])S8)S5)S4)S9)C9=C2C%10=CC(F)=C(CC(CC)CCCC)S%10","10.1021/jacs.0c07083"
"PBDB-TF","M34","15.24","0.91","23.63","0.707","CCc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9cc(F)c(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15cc(F)c(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15cc(F)c(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9cc(F)c(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3cc(F)c(CC)s3)c3ccsc23)cc1F","[H]C(S1)=CC2=C1C(C3=CC(F)=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=C6C(C(C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C6=O)=O)=C(C8=CC=C([H])S8)S5)S4)S9)C9=C2C%10=CC(F)=C(CC(CC)CCCC)S%10","10.1002/anie.202007907"
"PBDB-TF","IPTBO-4Cl","15","0.893","23.15","0.726","CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)cc32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3c4sc(/C=C5\C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)cc4n(CC)c23)cc1","[H]C(S1)=CC2=C1C(C3=CC(F)=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=C6C(C(C7=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C7C6=O)=O)=C(C8=CC=C([H])S8)S5)S4)S9)C9=C2C%10=CC(F)=C(CC(CC)CCCC)S%10","10.1039/D0TA00651C"
"D18","Y6-Se","17.7","0.839","27.98","0.753","CCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4n[se]nc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21","CCCCCCC(CC1=CSC(C2=CC3=C(C4=C(C5=NSN=C53)C=C(S4)C6=CC(CC(CCCCCC)CCCC)=C(S6)C7=CC8=C(C9=C(C(C%10=CC(F)=C(N%10)CC(CCCC)CC)=C8S7)C=CS9)C%11=CC(F)=C(S%11)CC(CCCC)CC)S2)=C1)CCCC","10.1021/jacs.0c08557"
"PM6","BTP-T-4Cl-BO","17.2","0.844","26.74","0.761","CCCCCCC(CCCC)Cn%12c4c3sc(C=c2c(=O)c1cc(Cl)c(Cl)cc1c2=C(C#N)C#N)c([C11])c3sc4c%11c5nsnc5c%10c9sc8c([C11])c(C=c7c(=O)c6cc(Cl)c(Cl)cc6c7=C(C#N)C#N)sc8c9n(CC(CCCC)CCCCCC)c%10c%11%12","FC1=C(CC(CCCC)CC)SC(C2=C(C=C(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C([H])S7)S4)S3)S8)C8=C(C9=CC(F)=C(CC(CCCC)CC)S9)C%10=C2SC([H])=C%10)=C1","10.1002/adfm.202108614"
"PBDB-T","BTTPC-Br","15.22","0.86","24.71","0.71","CCc1c(/C=C2\C(=O)c3cc4cc(Br)sc4cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc9cc(Br)sc9cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21","[H]C1=CC2=C(S1)C(C3=CC=C(CC(CC)CCCC)S3)=C4C(SC(C5=CC=C(C6=C7C(C(C8=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C8C7=O)=O)=C(C9=CC=C([H])S9)S6)S5)=C4)=C2C%10=CC=C(CC(CC)CCCC)S%10","10.1002/adfm.202108614"
"PM6","CH6","18.33","0.875","26.62","0.784","C","FC1=C(CC(CCCC)CC)SC(C2=C(C=C(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C([H])S7)S4)S3)S8)C8=C(C9=CC(F)=C(CC(CCCC)CC)S9)C%10=C2SC([H])=C%10)=C1","10.1002/anie.202209580"
